file,label,entropy,brightness_mean,brightness_std,skewness_brightness,kurtosis_brightness,laplacian_variance,gradient_mean,gradient_variance,edge_density,hf_energy_ratio,spectral_slope,spectral_flatness,fft_phase_entropy,freq_lf,freq_mf,freq_hf,dct_energy_ratio,jpeg_artifact_score,stripe_score,lbp_entropy,glcm_contrast,glcm_homogeneity,glcm_energy,noise_entropy,residual_std,noise_variance_patch_std,saturation_mean,hue_entropy,rgb_channel_corr,colorfulness,gray_world_error,compression_ratio,metadata_flag,exif_present,orig_width,orig_height,orig_aspect,file_size_kb,file_bpp
dataset\real_512\000000001268.png,0,7.371074,0.326602,0.303789,1.165048,-0.039533,2072.844696,89.158435,20935.998943,0.106953,0.033196,3.360307,0.004014,7.993722,0.929701,0.050925,0.019375,0.000228,0.999314,0.054168,6.482827,0.47454,0.875609,0.094706,5.147012,0.053803,0.00457,0.186099,6.165687,0.991055,14.196994,0.008696,0.762127,1.0,0.0,512.0,512.0,1.0,442.924805,1.730175
dataset\real_512\000000001296.png,0,7.84627,0.447553,0.269069,0.039344,-0.975851,487.708782,57.416133,9538.583221,0.06477,0.008901,4.019687,0.000756,7.991232,0.973451,0.022889,0.00366,7.9e-05,1.007465,0.025564,6.121813,1.068903,0.823,0.040332,4.13687,0.027894,0.001222,0.352623,5.588706,0.914085,49.193641,0.131039,0.778111,1.0,0.0,512.0,512.0,1.0,381.615234,1.490685
dataset\real_512\000000001353.png,0,7.01913,0.232894,0.156014,0.416852,-0.852119,87.433689,29.265245,2235.018036,0.029007,0.0076,4.240195,0.000305,7.993611,0.975735,0.021144,0.003121,1.6e-05,1.054096,0.013299,6.161807,0.234758,0.92023,0.098345,4.155641,0.012778,0.000308,0.791478,4.401417,0.468611,84.361231,0.337757,0.605915,1.0,0.0,512.0,512.0,1.0,306.950195,1.199024
dataset\real_512\000000001425.png,0,7.492146,0.566651,0.285987,-0.37934,-0.945713,466.991672,43.001374,5465.371225,0.05378,0.00456,3.200944,0.000935,7.99284,0.986817,0.010829,0.002355,0.000697,1.027835,0.028178,5.963519,0.425214,0.889496,0.051358,3.777216,0.023217,0.000883,0.0,-0.0,1.0,0.0,0.0,0.610157,1.0,0.0,512.0,512.0,1.0,174.379883,0.681171
dataset\real_512\000000001503.png,0,7.485725,0.471171,0.197555,-0.340371,-0.218898,76.800442,41.289406,3979.223916,0.044487,0.003846,4.460796,4.6e-05,7.980779,0.985124,0.013916,0.000961,0.0,1.037263,0.013576,5.299148,0.415012,0.89578,0.072294,5.034795,0.013839,0.000273,0.109212,6.128773,0.988368,11.661476,0.02559,0.562473,1.0,0.0,512.0,512.0,1.0,228.588867,0.892925
dataset\real_512\000000001490.png,0,6.469309,0.586204,0.188561,0.37473,-0.875744,661.260081,88.627919,7416.18892,0.19733,0.009896,4.070492,0.000179,7.993307,0.983349,0.011983,0.004667,1.7e-05,1.002063,0.027357,5.354292,0.309375,0.876707,0.096713,5.873926,0.035239,0.000847,0.0,-0.0,1.0,0.0,0.0,0.606255,1.0,0.0,512.0,512.0,1.0,180.887695,0.706593
dataset\real_512\000000001532.png,0,6.71953,0.524773,0.229309,-0.236182,-1.611115,586.854175,43.238176,6343.635026,0.05949,0.006287,3.316869,0.000819,7.993417,0.988527,0.007918,0.003554,0.000107,0.99627,0.040685,6.750598,0.361351,0.917314,0.155428,4.550526,0.02896,0.001037,0.197396,5.372928,0.968788,35.742221,0.11942,0.64365,1.0,0.0,512.0,512.0,1.0,395.085938,1.543304
dataset\real_512\000000001584.png,0,7.475019,0.389474,0.212432,0.372567,-1.146282,402.243251,55.657154,6135.181283,0.079662,0.009265,3.777664,0.000915,7.993365,0.975217,0.020748,0.004036,0.000413,0.992248,0.020323,6.189865,0.535401,0.859852,0.058685,4.370596,0.025359,0.001112,0.319458,6.006751,0.717989,75.168512,0.159814,0.720547,1.0,0.0,512.0,512.0,1.0,354.037109,1.382957
dataset\real_512\000000001675.png,0,7.511209,0.39024,0.328116,0.625768,-1.11288,1499.503657,69.35895,12609.589104,0.085415,0.015754,3.154731,0.002569,7.993682,0.964989,0.025284,0.009727,0.006142,1.011648,0.078287,6.35365,0.347702,0.902059,0.076254,4.642255,0.043332,0.003397,0.146651,6.040138,0.996696,10.21255,0.014578,0.70335,1.0,0.0,512.0,512.0,1.0,383.015625,1.496155
dataset\real_512\000000001761.png,0,6.105089,0.825936,0.220314,-2.321177,4.023558,1201.837559,47.178945,17145.28575,0.040951,0.006524,3.56197,0.000692,7.993746,0.985699,0.011214,0.003087,0.0,1.002608,0.02545,5.678526,1.293857,0.907195,0.295129,3.105639,0.041151,0.00355,0.048211,4.419167,0.994134,9.313025,0.01746,0.464809,1.0,0.0,512.0,512.0,1.0,240.359375,0.938904
dataset\real_512\000000001818.png,0,7.430316,0.454349,0.364745,0.045487,-1.604537,4486.609509,167.729858,30764.127487,0.231396,0.038792,3.335694,0.007478,7.993691,0.912483,0.065763,0.021754,0.001355,1.01021,0.024259,6.842019,3.146109,0.667095,0.059398,6.08098,0.074972,0.004099,0.050814,2.311793,0.999859,2.408372,0.006963,0.886906,1.0,0.0,512.0,512.0,1.0,516.630859,2.018089
dataset\real_512\000000001993.png,0,7.802568,0.459193,0.286769,0.051176,-1.392933,663.796637,56.158718,6802.922622,0.078247,0.007884,3.663371,0.001005,7.993007,0.981819,0.013503,0.004678,2.2e-05,0.963802,0.051703,6.649423,0.703508,0.854486,0.050326,4.927926,0.03029,0.001021,0.185938,6.631835,0.981999,20.433551,0.031381,0.820755,1.0,0.0,512.0,512.0,1.0,439.152344,1.715439
dataset\real_512\000000002149.png,0,7.452795,0.352186,0.243086,0.078029,-1.016911,40.115521,20.466936,1009.481611,0.010803,0.002533,3.977679,0.000146,7.993384,0.991728,0.006902,0.00137,5e-06,1.000251,0.036706,5.771439,0.150123,0.942038,0.100512,3.351505,0.007391,0.000102,0.773903,4.281742,0.843077,62.972107,0.288094,0.542397,1.0,0.0,512.0,512.0,1.0,261.476562,1.021393
dataset\real_512\000000002006.png,0,7.434084,0.458345,0.218337,0.85695,0.602521,1270.380782,81.838565,12011.492474,0.127773,0.015982,3.268281,0.00264,7.993625,0.961319,0.029812,0.008869,0.000226,0.974173,0.020654,6.539609,0.802466,0.829871,0.059487,5.332431,0.041383,0.001226,0.22137,6.091219,0.913335,34.64322,0.097963,0.792023,1.0,0.0,512.0,512.0,1.0,428.723633,1.674702
dataset\real_512\000000002153.png,0,6.670544,0.35364,0.126394,1.160644,2.164807,946.904023,65.8825,4929.77278,0.078243,0.015565,2.885217,0.003592,7.993749,0.970345,0.018829,0.010826,0.000589,1.004558,0.005104,6.629707,0.459099,0.85065,0.158128,5.115993,0.033702,0.001271,0.356723,5.798796,0.790619,40.011969,0.085562,0.785915,1.0,0.0,512.0,512.0,1.0,487.821289,1.905552
dataset\real_512\000000002157.png,0,7.662351,0.362614,0.222275,0.424644,-0.731223,857.596291,69.035048,9601.447677,0.1021,0.016453,3.561819,0.002571,7.993762,0.958347,0.033535,0.008118,2.3e-05,1.011194,0.012014,6.428893,0.693673,0.83768,0.04986,4.630708,0.033946,0.001433,0.454621,6.294756,0.747635,68.841592,0.121952,0.801533,1.0,0.0,512.0,512.0,1.0,439.419922,1.716484
dataset\real_512\000000002261.png,0,7.122824,0.625502,0.167369,-0.189561,0.926672,1005.506661,73.451532,5911.580841,0.144577,0.006809,3.28439,0.001276,7.993514,0.987466,0.008501,0.004033,0.000402,1.00108,0.00972,6.584835,0.559773,0.831315,0.069002,5.455809,0.035261,0.001093,0.214418,6.184489,0.921116,34.541742,0.166479,0.78619,1.0,0.0,512.0,512.0,1.0,485.374023,1.895992
dataset\real_512\000000002299.png,0,7.527417,0.431784,0.319323,0.363377,-1.264166,1242.406342,145.498122,22650.028606,0.206013,0.030468,4.348848,0.000773,7.993525,0.918225,0.071544,0.010231,1.1e-05,1.002732,0.030848,6.33664,2.978998,0.670412,0.024256,5.958622,0.049791,0.001336,0.0,-0.0,1.0,0.0,0.0,0.884758,1.0,0.0,512.0,512.0,1.0,284.527344,1.111435
dataset\real_512\000000002431.png,0,7.601972,0.49576,0.197922,-0.340109,-0.399169,344.41203,44.68471,5611.619267,0.061954,0.005362,3.680473,0.000698,7.992705,0.982757,0.014765,0.002479,0.00015,0.989968,0.010078,6.508333,0.529105,0.877691,0.061624,4.311378,0.02215,0.000718,0.203785,5.374664,0.962189,24.99092,0.075948,0.745316,1.0,0.0,512.0,512.0,1.0,355.75293,1.38966
dataset\real_512\000000002473.png,0,6.041818,0.46039,0.233239,1.120766,0.839667,1361.785386,48.866502,10189.284258,0.083252,0.01283,3.159637,0.002932,7.993737,0.976403,0.015334,0.008263,0.000317,1.008371,0.035646,6.201983,0.560263,0.895131,0.285266,3.73721,0.039368,0.002474,0.480599,4.004551,0.804356,70.128214,0.285342,0.52898,1.0,0.0,512.0,512.0,1.0,360.826172,1.409477
dataset\real_512\000000002532.png,0,7.787337,0.557145,0.255955,0.036985,-1.040382,2973.659908,81.939934,17613.108881,0.113678,0.017282,2.814924,0.005325,7.993694,0.967804,0.020891,0.011305,0.000991,1.012485,0.026604,6.800841,0.913894,0.845498,0.051935,4.732326,0.056391,0.004449,0.353427,4.930279,0.867751,61.664718,0.216248,0.763165,1.0,0.0,512.0,512.0,1.0,484.307617,1.891827
dataset\real_512\000000002587.png,0,7.228816,0.363105,0.182557,0.780989,0.00311,282.398014,40.033924,3336.200105,0.041996,0.005881,3.962397,0.000698,7.993476,0.984941,0.011638,0.003421,8.5e-05,0.994937,0.011733,6.568665,0.372289,0.897511,0.091089,4.454583,0.020163,0.000467,0.476645,5.348802,0.87808,42.780193,0.193371,0.728367,1.0,0.0,512.0,512.0,1.0,402.603516,1.57267
dataset\real_512\000000002592.png,0,7.6766,0.530529,0.21444,-0.077111,-0.470951,7403.777291,158.321014,37908.930912,0.193771,0.05281,3.346256,0.001545,7.993613,0.941164,0.009818,0.049018,0.000424,1.007315,0.01472,5.952096,1.307368,0.771162,0.05234,6.258401,0.102511,0.012063,0.125394,6.361701,0.985231,16.028128,0.047898,0.840321,1.0,0.0,512.0,512.0,1.0,495.525391,1.935646
dataset\real_512\000000002923.png,0,6.749334,0.515371,0.140803,-0.0048,-0.607124,953.793229,47.15834,6387.045316,0.047203,0.008652,3.293679,0.001121,7.99374,0.988157,0.005653,0.006189,0.000547,1.025559,0.014827,6.554198,0.365702,0.896921,0.141642,4.281969,0.034809,0.002979,0.383779,4.22233,0.885535,51.622799,0.043494,0.625961,1.0,0.0,512.0,512.0,1.0,367.306641,1.434792
dataset\real_512\000000002685.png,0,7.759214,0.427368,0.241178,0.156075,-0.892352,1953.901372,69.810349,12066.355393,0.104092,0.016872,2.868731,0.004756,7.993768,0.962815,0.027106,0.010079,0.00054,0.999191,0.013141,6.956087,1.151716,0.802574,0.040721,4.726564,0.043986,0.002175,0.413761,6.068266,0.858042,55.025647,0.176054,0.880409,1.0,0.0,512.0,512.0,1.0,502.204102,1.961735
dataset\real_512\000000003255.png,0,7.520222,0.617924,0.216228,-0.592802,-0.577167,2223.483093,109.078118,20482.549614,0.161434,0.019083,3.888385,0.001401,7.993601,0.965907,0.023623,0.010471,0.000386,1.021465,0.014999,6.511267,1.553431,0.771896,0.057352,5.25082,0.056515,0.003368,0.177756,5.222341,0.904096,41.019364,0.099397,0.77869,1.0,0.0,512.0,512.0,1.0,474.47168,1.853405
dataset\real_512\000000003156.png,0,7.414429,0.427481,0.318054,0.121414,-1.52013,1247.2404,62.213152,16218.523962,0.065739,0.015386,3.455595,0.002567,7.993583,0.961887,0.029954,0.00816,0.000358,0.998467,0.052749,6.691618,1.202865,0.862523,0.056423,4.634378,0.041051,0.002464,0.0,-0.0,1.0,0.0,0.0,0.74231,1.0,0.0,512.0,512.0,1.0,233.200195,0.910938
dataset\real_512\000000003501.png,0,7.372348,0.500762,0.311315,0.237196,-1.495993,726.617401,50.842994,7644.835165,0.068535,0.005295,3.152841,0.001517,7.993715,0.985288,0.011831,0.002882,0.000373,1.013639,0.026215,6.293317,0.759206,0.848159,0.07545,4.318231,0.028896,0.001228,0.376829,6.203427,0.914813,55.320947,0.1171,0.722492,1.0,0.0,512.0,512.0,1.0,363.15918,1.418591
dataset\real_512\000000003553.png,0,7.54215,0.409264,0.328293,0.648763,-0.988666,322.757456,57.812687,8026.900893,0.062157,0.006832,4.239038,0.00046,7.993712,0.975335,0.02196,0.002705,0.000187,1.000577,0.053839,6.196737,0.628876,0.864053,0.07117,4.586853,0.02391,0.000845,0.192347,5.383905,0.985052,21.577822,0.049638,0.733521,1.0,0.0,512.0,512.0,1.0,363.063477,1.418217
dataset\real_512\000000003845.png,0,7.759549,0.451189,0.228398,0.526178,-0.493403,348.834529,63.56675,4705.796206,0.101143,0.006178,4.197614,0.000484,7.993505,0.981655,0.015681,0.002664,0.000189,1.010841,0.020284,6.411817,0.586673,0.813253,0.042756,4.913668,0.02343,0.000437,0.647228,4.778129,0.841356,70.439318,0.357206,0.862881,1.0,0.0,512.0,512.0,1.0,453.587891,1.771828
dataset\real_512\000000003661.png,0,7.056499,0.458239,0.149025,0.886718,1.375639,32.416526,20.23648,850.497786,0.01152,0.000964,4.049539,6.9e-05,7.991586,0.996521,0.003098,0.000381,3e-06,1.111909,0.005572,6.244636,0.150337,0.939121,0.133983,3.476394,0.007462,0.000108,0.709518,3.831894,0.795019,59.311388,0.381721,0.608433,1.0,0.0,512.0,512.0,1.0,287.776367,1.124126
dataset\real_512\000000003934.png,0,7.563533,0.376918,0.211501,0.996549,0.620277,574.865999,61.98079,7457.512508,0.093803,0.012924,4.047064,0.001038,7.993587,0.972145,0.02161,0.006245,4.3e-05,0.997057,0.013681,6.667443,0.831526,0.828317,0.056993,4.843941,0.029881,0.001041,0.345296,6.534364,0.869768,44.1196,0.087121,0.846745,1.0,0.0,512.0,512.0,1.0,444.018555,1.734447
dataset\real_512\000000004134.png,0,7.537017,0.319018,0.28375,0.849506,-0.588223,684.319066,54.453373,8133.707694,0.078064,0.013486,3.640154,0.002024,7.992169,0.967627,0.025192,0.007181,0.001318,0.992432,0.039222,6.593883,0.862331,0.850182,0.076383,4.840904,0.030354,0.000976,0.375758,5.759224,0.910122,45.184935,0.079538,0.779869,1.0,0.0,512.0,512.0,1.0,406.90918,1.589489
dataset\real_512\000000004395.png,0,6.627636,0.475828,0.409312,0.125875,-1.693768,391.47327,36.017521,7058.963932,0.030762,0.004176,3.820315,0.000519,7.993573,0.987036,0.010794,0.00217,0.000279,0.992115,0.086403,5.509375,0.722534,0.901859,0.166044,3.774298,0.02311,0.000933,0.28134,5.800972,0.975952,33.076756,0.057539,0.587498,1.0,0.0,512.0,512.0,1.0,296.375977,1.157719
dataset\real_512\000000004495.png,0,7.257568,0.43344,0.195795,-0.340909,-1.253022,160.903109,36.770782,3155.201989,0.035538,0.004319,4.106334,0.000196,7.992607,0.989052,0.009193,0.001755,3e-05,1.01918,0.028628,6.568869,0.354642,0.897817,0.098491,5.007996,0.017051,0.000481,0.320197,6.182727,0.792304,42.106354,0.029487,0.717403,1.0,0.0,512.0,512.0,1.0,369.567383,1.443623
dataset\real_512\000000004765.png,0,7.391376,0.570372,0.189095,-0.33861,-0.888005,486.113434,59.394077,5410.877722,0.087845,0.005315,3.644924,0.000499,7.993614,0.988824,0.008624,0.002552,8.5e-05,1.011802,0.017678,6.581985,0.518597,0.850244,0.0626,5.302585,0.027138,0.000545,0.099554,6.553306,0.966828,18.748317,0.040382,0.807732,1.0,0.0,512.0,512.0,1.0,400.558594,1.564682
dataset\real_512\000000004795.png,0,7.706039,0.608227,0.234374,-0.316786,-1.032748,1033.870444,63.101161,5715.305939,0.096878,0.00586,2.892651,0.001591,7.993659,0.987843,0.008924,0.003233,0.001946,1.001304,0.027785,6.864772,0.558487,0.853462,0.052241,5.232091,0.033053,0.000919,0.160171,7.068337,0.925426,34.560037,0.033518,0.841072,1.0,0.0,512.0,512.0,1.0,512.744141,2.002907
dataset\real_512\000000005001.png,0,6.550263,0.272964,0.309104,0.823738,-0.722961,3392.622136,104.97658,26719.626938,0.131081,0.052162,3.064354,0.012509,7.993738,0.894463,0.075757,0.029781,0.001931,1.035162,0.029772,6.393396,2.020389,0.79784,0.151277,4.999271,0.064073,0.004298,0.351983,5.74067,0.926277,44.503048,0.044325,0.73735,1.0,0.0,512.0,512.0,1.0,451.086914,1.762058
dataset\real_512\000000005037.png,0,7.774255,0.433069,0.289434,0.315794,-1.048185,2005.989036,97.173786,23646.736161,0.120358,0.027276,3.606288,0.003027,7.993733,0.942171,0.042737,0.015092,0.000419,0.995838,0.037508,6.509546,1.88174,0.816626,0.040312,5.076927,0.054731,0.003011,0.198391,6.090034,0.945544,34.783103,0.037769,0.812378,1.0,0.0,512.0,512.0,1.0,436.527344,1.705185
dataset\real_512\000000005060.png,0,7.719579,0.421141,0.247087,0.553809,-0.36554,1794.689969,71.962709,12239.674603,0.089649,0.017838,2.887022,0.004179,7.993717,0.966185,0.022465,0.01135,0.000404,1.004633,0.02242,6.835641,1.090901,0.842514,0.048263,5.165614,0.045733,0.002177,0.413504,6.359177,0.928716,42.608614,0.131455,0.904781,1.0,0.0,512.0,512.0,1.0,515.149414,2.012302
dataset\real_512\000000005193.png,0,7.392524,0.3363,0.192373,0.120563,-1.037269,1352.725971,66.145283,10628.288473,0.089661,0.024829,3.241209,0.004852,7.993679,0.953479,0.031471,0.01505,0.002156,0.992073,0.008135,6.490337,0.885003,0.833617,0.061424,4.625498,0.04103,0.002401,0.28822,5.795108,0.76722,51.454354,0.102782,0.774353,1.0,0.0,512.0,512.0,1.0,407.455078,1.591621
dataset\real_512\000000005503.png,0,6.897049,0.321967,0.170691,0.045092,-0.852393,64.017879,27.156364,1476.912317,0.019917,0.003313,4.029755,0.000201,7.987514,0.98943,0.009152,0.001418,2.3e-05,1.025996,0.010121,6.323485,0.24208,0.914339,0.085685,4.643549,0.01032,0.000114,0.0,-0.0,1.0,0.0,0.0,0.616734,1.0,0.0,512.0,512.0,1.0,156.548828,0.611519
dataset\real_512\000000005477.png,0,6.953113,0.610383,0.159745,-1.736762,3.284014,382.89239,42.733886,6290.876079,0.038715,0.004377,4.173357,0.000221,7.993113,0.990417,0.007455,0.002128,2.5e-05,1.004422,0.014385,6.003446,0.317187,0.934105,0.152952,4.160524,0.025139,0.001049,0.248042,5.26217,0.731756,46.345562,0.039253,0.583832,1.0,0.0,512.0,512.0,1.0,324.021484,1.265709
dataset\real_512\000000005529.png,0,7.164904,0.653672,0.243343,-1.319562,0.490454,3958.617061,105.99172,21366.25239,0.134453,0.017887,2.89136,0.00483,7.993495,0.967773,0.020861,0.011366,0.000641,0.999386,0.020047,6.938064,1.779412,0.782946,0.107542,5.354809,0.065134,0.0052,0.076388,5.555089,0.993917,9.894127,0.014363,0.859669,1.0,0.0,512.0,512.0,1.0,527.383789,2.060093
dataset\real_512\000000005586.png,0,7.433693,0.454463,0.234978,-0.105847,-0.889841,81.240811,42.532913,4077.56409,0.056595,0.004222,4.52532,4.6e-05,7.985472,0.983336,0.015588,0.001076,0.0,1.028844,0.040857,5.524488,0.42212,0.892215,0.084204,4.888345,0.014185,0.000229,0.324074,6.227193,0.830256,48.457666,0.044958,0.548809,1.0,0.0,512.0,512.0,1.0,278.826172,1.089165
dataset\real_512\000000005600.png,0,7.363342,0.315508,0.186973,0.353238,-0.978866,260.254634,40.745977,4042.089216,0.04987,0.009592,4.087006,0.000695,7.989949,0.97576,0.020003,0.004237,7.3e-05,1.000305,0.013593,6.71461,0.384314,0.884058,0.068139,4.469421,0.020068,0.000545,0.733748,4.068059,0.720621,75.611113,0.344001,0.770317,1.0,0.0,512.0,512.0,1.0,383.708008,1.498859
dataset\real_512\000000005992.png,0,7.482855,0.331043,0.258508,1.132997,0.556469,539.036692,58.391277,4646.319542,0.084072,0.011923,3.613706,0.001611,7.992739,0.973827,0.019776,0.006397,0.001445,1.001658,0.046435,6.444072,0.662454,0.812336,0.052307,5.148958,0.026904,0.00115,0.261911,6.374262,0.975569,22.136871,0.044736,0.771183,1.0,0.0,512.0,512.0,1.0,421.885742,1.647991
dataset\real_512\000000006040.png,0,7.504145,0.395159,0.269406,0.676287,-0.119765,1076.040459,90.354844,20903.052214,0.112682,0.024051,4.392837,0.000953,7.99308,0.932006,0.057599,0.010396,5.1e-05,0.958545,0.025164,6.385232,1.979167,0.830915,0.065286,5.040359,0.043522,0.001744,0.30631,6.044404,0.90934,43.72506,0.048597,0.742996,1.0,0.0,512.0,512.0,1.0,416.322266,1.626259
dataset\real_512\000000006012.png,0,7.764573,0.559546,0.228048,-0.20314,-0.918793,1412.219044,81.935654,10025.472247,0.129089,0.009716,2.986545,0.002486,7.993535,0.975867,0.018759,0.005373,0.000181,0.99274,0.009555,6.686387,1.389629,0.743359,0.029268,5.041809,0.040053,0.00145,0.591479,5.043595,0.402724,116.275225,0.233369,0.916595,1.0,0.0,512.0,512.0,1.0,498.485352,1.947208
dataset\real_512\000000006213.png,0,7.202837,0.524363,0.221826,-0.742052,-0.438666,277.508012,31.225921,4453.472583,0.036724,0.003817,3.916699,0.000284,7.990672,0.990165,0.007831,0.002004,0.000136,1.000136,0.023906,5.781669,0.428079,0.907898,0.103817,3.931816,0.020766,0.00064,0.41184,3.912036,0.965448,34.841151,0.21707,0.568073,1.0,0.0,512.0,512.0,1.0,261.297852,1.020695
dataset\real_512\000000006460.png,0,7.379966,0.55014,0.232933,0.063297,-0.947925,2282.399419,94.150586,7646.056028,0.194237,0.013158,2.857001,0.003641,7.993486,0.979379,0.011634,0.008986,0.001824,0.993941,0.033333,6.765932,0.621186,0.814803,0.044815,5.748133,0.049056,0.002092,0.0,-0.0,1.0,0.0,0.0,0.815422,1.0,0.0,512.0,512.0,1.0,297.445312,1.161896
dataset\real_512\000000006471.png,0,7.501458,0.389816,0.258899,0.068206,-1.127544,742.81839,70.942831,11528.12443,0.072636,0.016552,4.182711,0.000812,7.993521,0.963228,0.029147,0.007625,1.7e-05,1.001066,0.042428,6.35011,0.847794,0.856322,0.071966,4.754897,0.035197,0.001818,0.282097,6.179619,0.953086,28.783337,0.041411,0.747185,1.0,0.0,512.0,512.0,1.0,380.43457,1.486073
dataset\real_512\000000006614.png,0,5.291105,0.843229,0.211796,-1.312175,0.731138,827.376088,62.032588,9707.661236,0.107315,0.003672,3.687067,0.000547,7.993687,0.99123,0.006848,0.001922,1.8e-05,1.00626,0.008563,5.19501,0.75867,0.849274,0.139634,4.619029,0.033434,0.00106,0.0,-0.0,1.0,0.0,0.0,0.544926,1.0,0.0,512.0,512.0,1.0,202.729492,0.791912
dataset\real_512\000000006771.png,0,7.535919,0.490896,0.233985,-0.421897,-1.053147,573.033254,45.858904,7835.825844,0.047806,0.007342,3.758844,0.00102,7.993773,0.981742,0.014323,0.003934,0.000219,1.010766,0.026147,6.084992,0.678493,0.865373,0.071003,3.426959,0.028252,0.002482,0.197697,6.207285,0.905332,39.869951,0.066865,0.671143,1.0,0.0,512.0,512.0,1.0,346.75,1.354492
